seller_state,customer_state,seller_lat,seller_lon,customer_lat,customer_lon,distancia_km_estado_api,tiempo_min_estado_api
AC,SP,-9.872170669974457,-68.03347718953198,-23.12163436196996,-47.07170455949694,3472.709,2755.0833333333335
AM,AL,-3.2651316106555845,-60.14448913061501,-9.649475616174817,-35.804476136486905,5616.625,6034.016666666666
AM,MA,-3.2651316106555845,-60.14448913061501,-3.4058375271605,-44.64292837876669,4232.636,4895.766666666666
AM,MG,-3.2651316106555845,-60.14448913061501,-19.8368783860845,-44.510639137486805,6305.06,6448.066666666667
BA,AC,-13.168811510716369,-39.553189440104376,-9.872170669974457,-68.03347718953198,4225.019,3410.15
BA,AL,-13.168811510716369,-39.553189440104376,-9.649475616174817,-35.804476136486905,705.494,659.3333333333334
BA,AM,-13.168811510716369,-39.553189440104376,-3.2651316106555845,-60.14448913061501,5646.038,6088.983333333334
BA,AP,-13.168811510716369,-39.553189440104376,0.042907127758036116,-51.11287345865695,2618.433,3335.016666666667
BA,BA,-13.168811510716369,-39.553189440104376,-13.168811510716369,-39.553189440104376,0.0,0.0
BA,CE,-13.168811510716369,-39.553189440104376,-4.1787898180713,-38.84914440855492,1251.64,1084.8
BA,DF,-13.168811510716369,-39.553189440104376,-15.813683037452757,-47.98760523145338,1252.158,1008.3833333333333
BA,ES,-13.168811510716369,-39.553189440104376,-20.226267289831803,-40.387405884400685,980.977,891.8666666666667
BA,GO,-13.168811510716369,-39.553189440104376,-16.68354215460362,-49.381153491849254,1460.592,1183.85
BA,MA,-13.168811510716369,-39.553189440104376,-3.4058375271605,-44.64292837876669,1515.093,1336.3333333333333
BA,MG,-13.168811510716369,-39.553189440104376,-19.8368783860845,-44.510639137486805,1234.432,1068.0666666666666
BA,MS,-13.168811510716369,-39.553189440104376,-20.575582054079366,-54.349280375688835,2131.364,1750.8333333333333
BA,MT,-13.168811510716369,-39.553189440104376,-14.384495553384413,-55.70381903559229,2351.47,1907.6666666666667
BA,PA,-13.168811510716369,-39.553189440104376,-2.5779707785785626,-49.18814577989,,
BA,PB,-13.168811510716369,-39.553189440104376,-7.08222958978264,-35.47505093762009,1072.479,984.5166666666667
BA,PE,-13.168811510716369,-39.553189440104376,-8.152025608548277,-35.496966580938214,905.265,828.1833333333333
BA,PI,-13.168811510716369,-39.553189440104376,-5.445069601178928,-42.63079628237705,1142.346,994.0833333333334
BA,PR,-13.168811510716369,-39.553189440104376,-24.90691454342181,-50.609280255724634,2162.733,1793.5833333333333
BA,RJ,-13.168811510716369,-39.553189440104376,-22.82382338311478,-43.149285809858725,1409.674,1315.9
BA,RN,-13.168811510716369,-39.553189440104376,-5.877178040487796,-35.78408280910874,1277.595,1086.1
BA,RO,-13.168811510716369,-39.553189440104376,-9.806761486818301,-63.02840103355963,3504.871,2843.9666666666667
BA,RR,-13.168811510716369,-39.553189440104376,2.8261267265167582,-60.69240198255299,4886.2,5485.416666666667
BA,RS,-13.168811510716369,-39.553189440104376,-29.718839490402164,-51.95608564360721,2977.628,2341.233333333333
BA,SC,-13.168811510716369,-39.553189440104376,-27.218038920844723,-49.48212805960794,2480.543,2022.65
BA,SE,-13.168811510716369,-39.553189440104376,-10.917756569914832,-37.14663957244331,438.529,413.6
BA,SP,-13.168811510716369,-39.553189440104376,-23.12163436196996,-47.07170455949694,1765.447,1457.0833333333333
BA,TO,-13.168811510716369,-39.553189440104376,-9.86555699236114,-48.36818486950135,1380.914,1170.2
CE,AL,-4.1787898180713,-38.84914440855492,-9.649475616174817,-35.804476136486905,970.453,871.75
CE,AM,-4.1787898180713,-38.84914440855492,-3.2651316106555845,-60.14448913061501,5037.317,5593.266666666666
CE,BA,-4.1787898180713,-38.84914440855492,-13.168811510716369,-39.553189440104376,1251.002,1092.0333333333333
CE,CE,-4.1787898180713,-38.84914440855492,-4.1787898180713,-38.84914440855492,0.0,0.0
CE,DF,-4.1787898180713,-38.84914440855492,-15.813683037452757,-47.98760523145338,2098.148,1676.8666666666666
CE,ES,-4.1787898180713,-38.84914440855492,-20.226267289831803,-40.387405884400685,2143.311,1902.5833333333333
CE,GO,-4.1787898180713,-38.84914440855492,-16.68354215460362,-49.381153491849254,2306.582,1852.3333333333333
CE,MA,-4.1787898180713,-38.84914440855492,-3.4058375271605,-44.64292837876669,821.817,811.3
CE,MG,-4.1787898180713,-38.84914440855492,-19.8368783860845,-44.510639137486805,2344.404,1970.5333333333333
CE,MS,-4.1787898180713,-38.84914440855492,-20.575582054079366,-54.349280375688835,3122.783,2475.1
CE,MT,-4.1787898180713,-38.84914440855492,-14.384495553384413,-55.70381903559229,2998.823,2452.9166666666665
CE,PA,-4.1787898180713,-38.84914440855492,-2.5779707785785626,-49.18814577989,,
CE,PB,-4.1787898180713,-38.84914440855492,-7.08222958978264,-35.47505093762009,639.989,599.9333333333333
CE,PE,-4.1787898180713,-38.84914440855492,-8.152025608548277,-35.496966580938214,858.073,722.4166666666666
CE,PI,-4.1787898180713,-38.84914440855492,-5.445069601178928,-42.63079628237705,615.116,562.45
CE,PR,-4.1787898180713,-38.84914440855492,-24.90691454342181,-50.609280255724634,3353.304,2633.75
CE,RJ,-4.1787898180713,-38.84914440855492,-22.82382338311478,-43.149285809858725,2581.509,2315.1
CE,RN,-4.1787898180713,-38.84914440855492,-5.877178040487796,-35.78408280910874,468.24,408.8333333333333
CE,RO,-4.1787898180713,-38.84914440855492,-9.806761486818301,-63.02840103355963,4152.225,3389.233333333333
CE,RS,-4.1787898180713,-38.84914440855492,-29.718839490402164,-51.95608564360721,4264.185,3245.0333333333333
CE,SC,-4.1787898180713,-38.84914440855492,-27.218038920844723,-49.48212805960794,3767.1,2926.45
CE,SE,-4.1787898180713,-38.84914440855492,-10.917756569914832,-37.14663957244331,1064.155,915.2166666666667
CE,SP,-4.1787898180713,-38.84914440855492,-23.12163436196996,-47.07170455949694,3000.013,2333.0666666666666
DF,AC,-15.813683037452757,-47.98760523145338,-9.872170669974457,-68.03347718953198,3073.783,2439.75
DF,AL,-15.813683037452757,-47.98760523145338,-9.649475616174817,-35.804476136486905,1902.386,1584.8833333333334
DF,BA,-15.813683037452757,-47.98760523145338,-13.168811510716369,-39.553189440104376,1252.801,1022.85
DF,CE,-15.813683037452757,-47.98760523145338,-4.1787898180713,-38.84914440855492,2005.562,1677.3166666666666
DF,DF,-15.813683037452757,-47.98760523145338,-15.813683037452757,-47.98760523145338,0.0,0.0
DF,ES,-15.813683037452757,-47.98760523145338,-20.226267289831803,-40.387405884400685,1251.877,1082.5333333333333
